commit_id,commit_message_length,repository,lines_added,lines_removed,files_changed,commit_timestamp,commit_hour,is_friday,is_weekend,after_hours,unresolved_comments,reviewers_count,patchsets_count,repo_trs_count,unresolved_trs_count,critical_trs_count,build_failed,programming_language,has_manual_memory_allocation,are_multiple_programming_languages_present,risk_score,risk_level
c5be2787,39,frontend-app,187,44,3,2024-10-25 06:57:19.860299,6,1,0,1,0,1,4,18,0,0,0,Python,0,0,31,medium
48d752de,30,frontend-app,1,116,6,2024-10-07 10:17:28.216724,10,0,0,0,0,1,1,14,2,0,0,Go,0,1,33,medium
b303c4e4,20,backend-service,21,32,1,2024-09-20 19:15:50.876434,19,1,0,1,0,0,3,4,1,0,0,Python,0,0,28,low
ba40f475,28,backend-service,59,1,3,2024-06-15 07:43:46.975088,7,0,1,1,0,2,2,11,0,0,0,Java,0,0,33,medium
4ea82b40,52,authentication,67,1,12,2024-12-25 12:01:13.570112,12,0,0,0,1,0,2,15,1,0,0,JavaScript,0,0,41,medium
53bf3422,55,mobile-app,186,46,8,2025-01-14 10:07:45.152332,10,0,0,0,0,2,1,4,0,0,0,JavaScript,0,1,38,medium
0e53dfda,29,authentication,32,19,1,2025-01-16 03:58:25.258925,3,0,0,1,0,3,2,3,0,0,0,JavaScript,0,1,31,medium
b6983ec6,63,frontend-app,4,141,4,2025-02-10 18:40:15.422232,18,0,0,1,0,2,3,1,0,0,0,Ruby,0,0,35,medium
6f5f39d5,32,mobile-app,8,69,3,2024-10-25 11:58:28.770890,11,1,0,0,0,1,1,26,5,0,0,Python,0,1,36,medium
8752fdab,56,frontend-app,211,28,1,2024-07-30 07:46:49.067667,7,0,0,1,2,2,4,13,3,0,0,C++,1,1,54,medium
bc17e48c,50,authentication,31,0,1,2025-02-02 17:00:49.134189,17,0,1,0,0,1,1,47,10,2,0,Java,0,1,33,medium
af8881b3,30,data-processing,52,63,1,2024-10-04 21:19:30.665217,21,1,0,1,0,1,7,33,5,0,1,JavaScript,0,1,47,medium
428853e1,46,authentication,142,58,1,2024-10-20 22:00:14.715280,22,0,1,1,1,2,5,7,1,0,0,C++,1,0,45,medium
351b5f5d,-24,frontend-app,19,21,7,2025-02-12 21:16:15.988605,21,0,0,1,0,2,1,8,0,0,1,JavaScript,0,0,43,medium
1fa93dcc,44,data-processing,34,30,5,2024-08-18 12:11:47.146929,12,0,1,0,7,1,1,13,1,0,0,C#,0,0,51,medium
12a6c557,23,backend-service,29,1,4,2024-09-07 04:42:12.990178,4,0,1,1,0,2,6,5,0,0,0,Python,0,1,38,medium
0cbacd8b,75,frontend-app,45,150,1,2024-07-02 05:11:01.757830,5,0,0,1,0,2,3,9,2,0,0,JavaScript,0,1,30,medium
7867da6f,30,frontend-app,74,28,1,2024-09-28 23:37:24.920304,23,0,1,1,0,2,1,17,0,0,0,C++,1,1,40,medium
92e3a395,15,mobile-app,1,27,1,2024-08-26 09:03:01.419853,9,0,0,0,1,2,1,55,10,3,0,C++,1,1,52,medium
629150d0,31,data-processing,34,4,11,2024-11-12 16:49:01.990025,16,0,0,0,2,2,4,16,1,0,0,JavaScript,0,0,29,low
b47fb8f1,53,frontend-app,17,3,7,2024-03-29 06:26:37.010679,6,1,0,1,0,2,1,25,1,0,0,Java,0,0,20,low
bcef9528,52,data-processing,135,50,3,2025-01-30 09:03:21.874292,9,0,0,0,0,2,1,21,4,0,0,TypeScript,0,1,39,medium
8c2cf42b,12,authentication,12,29,4,2024-09-30 07:54:51.335237,7,0,0,1,1,2,1,7,0,0,0,JavaScript,0,1,36,medium
4afa0bf8,16,frontend-app,104,84,5,2024-08-02 22:49:57.721636,22,1,0,1,1,2,1,5,0,0,0,Go,0,0,46,medium
f9abc4f3,48,backend-service,28,71,3,2024-06-04 15:48:22.490641,15,0,0,0,0,3,1,4,0,0,0,PHP,0,0,9,low
c8f2f522,37,mobile-app,27,0,4,2024-12-25 19:51:05.853990,19,0,0,1,6,2,8,38,6,0,1,Go,0,1,66,high
4ca880d4,52,authentication,29,63,1,2024-05-31 04:15:39.957856,4,1,0,1,1,0,2,16,1,0,0,Python,0,0,38,medium
db2a3243,64,authentication,80,186,1,2024-06-10 16:45:19.986648,16,0,0,0,2,2,3,24,5,1,0,JavaScript,0,1,40,medium
3534d9fe,54,backend-service,27,64,7,2024-05-14 05:04:55.486283,5,0,0,1,2,5,2,24,3,0,1,Python,0,0,42,medium
7920fffd,39,mobile-app,216,18,2,2024-09-05 10:32:46.019881,10,0,0,0,0,1,1,15,0,0,0,Ruby,0,1,44,medium
fd65c9f0,29,frontend-app,70,1,1,2024-05-30 17:57:46.376880,17,0,0,0,0,3,1,29,5,0,1,Python,0,0,34,medium
87fec2d0,114,data-processing,58,2,1,2024-09-28 04:57:52.614478,4,0,1,1,0,3,2,74,15,1,0,JavaScript,0,0,32,medium
1f7e64ca,18,data-processing,37,69,1,2024-06-23 09:33:04.252665,9,0,1,0,0,1,9,36,0,0,0,Java,0,0,33,medium
5bd0459f,42,mobile-app,50,8,1,2024-09-18 03:15:14.911880,3,0,0,1,3,0,3,6,1,0,0,C++,1,1,50,medium
513ccb97,3,data-processing,133,36,4,2025-01-04 05:10:57.233652,5,0,1,1,1,1,4,0,0,0,0,PHP,0,0,34,medium
9c218415,41,data-processing,2,1,6,2024-12-29 03:24:32.349132,3,0,1,1,0,3,1,12,3,0,0,JavaScript,0,0,31,medium
5dae5013,28,data-processing,48,20,4,2024-05-01 15:18:01.626795,15,0,0,0,1,2,2,13,0,0,0,JavaScript,0,0,29,low
bd130a69,38,frontend-app,76,6,1,2025-01-30 08:19:27.926809,8,0,0,1,1,2,6,17,1,0,0,TypeScript,0,1,43,medium
1c1610ee,39,authentication,73,22,3,2024-06-09 12:18:17.500261,12,0,1,0,4,2,5,4,0,0,0,Python,0,0,45,medium
6d23a56d,33,data-processing,6,0,1,2024-09-21 00:56:51.704516,0,0,1,1,0,2,4,0,0,0,0,JavaScript,0,0,20,low
6ab699b8,72,frontend-app,20,4,4,2025-01-28 00:39:16.573117,0,0,0,1,0,2,3,6,0,0,0,Ruby,0,0,33,medium
928c5005,-2,mobile-app,133,72,23,2024-08-01 05:26:33.709877,5,0,0,1,4,0,1,53,3,0,0,JavaScript,0,0,49,medium
88c14a57,80,backend-service,37,48,5,2024-08-03 09:16:32.869048,9,0,1,0,0,2,5,9,2,0,0,TypeScript,0,0,36,medium
16eb8e64,106,frontend-app,122,2,1,2024-06-11 06:47:41.201902,6,0,0,1,0,3,1,7,0,0,0,JavaScript,0,0,18,low
78e81a16,39,backend-service,115,62,6,2024-12-30 09:28:31.654450,9,0,0,0,0,1,2,11,1,0,1,C++,1,1,59,medium
53770c71,48,mobile-app,42,5,1,2024-07-12 01:37:00.670885,1,1,0,1,0,3,1,24,3,1,1,TypeScript,0,0,50,medium
717820b3,5,data-processing,137,47,1,2024-05-10 01:49:50.994946,1,1,0,1,2,0,7,85,8,2,0,JavaScript,0,1,64,high
b9d9eb8c,-10,mobile-app,24,2,4,2024-04-17 02:38:01.789280,2,0,0,1,0,3,1,13,1,0,0,Go,0,1,38,medium
c2d5a686,58,backend-service,33,1,1,2025-02-12 02:16:54.108988,2,0,0,1,0,1,1,65,12,1,0,JavaScript,0,0,31,medium
24ad41ad,41,data-processing,28,81,1,2024-11-23 14:37:26.782539,14,0,1,0,9,2,1,16,1,0,0,Python,0,0,37,medium
131b0a68,83,authentication,70,43,5,2024-11-03 14:21:30.981465,14,0,1,0,2,1,6,0,0,0,0,PHP,0,0,34,medium
6821b030,6,frontend-app,181,73,2,2024-09-21 21:30:24.297578,21,0,1,1,0,2,1,8,1,0,0,Python,0,0,32,medium
9e3fb975,43,mobile-app,7,159,20,2024-11-07 12:04:16.770014,12,0,0,0,1,3,4,23,5,0,1,Java,0,0,46,medium
ab0fc10c,51,data-processing,236,76,14,2024-10-22 22:08:19.171561,22,0,0,1,1,3,7,40,2,0,0,JavaScript,0,1,46,medium
9f1ff4e8,-1,authentication,2,19,7,2024-03-22 18:24:32.157904,18,1,0,1,8,3,5,36,4,1,0,JavaScript,0,0,56,medium
4892bf7c,46,authentication,44,12,1,2024-07-24 01:13:41.291829,1,0,0,1,16,2,15,16,0,0,0,Java,0,1,66,high
c4cd2907,14,backend-service,245,76,1,2024-08-08 01:51:26.716309,1,0,0,1,6,1,2,5,0,0,0,Go,0,0,39,medium
fffe3fc2,40,authentication,95,19,1,2024-04-23 13:37:38.376977,13,0,0,0,4,4,2,38,6,2,0,C++,1,0,49,medium
837606de,50,mobile-app,78,91,2,2024-11-23 10:24:59.986930,10,0,1,0,3,3,1,2,0,0,0,Java,0,0,35,medium
