author_experience,repository,caused_TR,problematic_integration,lines_added,lines_deleted,files_changed,programming_language,multiple_languages,num_reviewers,num_comments,num_unresolved_comments,num_patchsets,reviewer_experience,past_TRs,active_TRs,critical_TRs,ci_cd_status,hour,day_of_week,time_since_last_commit,test_coverage,documentation_changes,risk_score
1,message-queue,1,1,90,43,6,C++,1,5,19,2,2,3,7,1,2,passing,9,Friday,14,71,0,61.806248243097414
3,message-queue,0,0,171,115,2,Python,1,5,5,3,4,3,12,0,3,passing,9,Friday,71,46,1,28.37124011573793
3,payment-gateway,1,0,346,149,9,Java,0,1,0,1,1,1,10,4,1,failing,6,Sunday,18,91,0,73.2766176714581
2,message-queue,1,0,99,109,2,Java,1,4,3,0,4,3,11,1,3,passing,9,Sunday,65,79,1,50.281368383459245
1,auth-service,1,0,352,116,8,Python,0,1,11,4,3,2,29,0,1,passing,22,Saturday,15,92,0,80.34619374167575
3,iot-controller,0,1,423,107,6,Erlang,0,3,12,2,10,1,0,1,2,passing,3,Wednesday,13,89,1,64.69386611696731
1,auth-service,1,0,105,30,8,Python,0,5,1,0,10,2,19,2,0,failing,4,Monday,52,68,1,58.42301433285922
1,image-processor,0,0,437,139,4,Erlang,0,3,17,2,2,3,23,1,3,failing,1,Wednesday,54,90,1,54.883819744783125
3,auth-service,0,1,326,112,4,Java,1,1,0,5,5,2,29,2,3,passing,6,Saturday,65,48,0,74.7984584514997
1,auth-service,0,0,209,37,20,C,0,4,8,2,8,1,15,0,2,failing,1,Friday,1,85,0,69.4332186557235
1,data-analytics,0,1,293,17,16,Java,0,5,5,1,8,1,6,5,3,passing,11,Sunday,33,66,1,53.88943910725743
2,payment-gateway,0,0,122,9,18,C,0,3,1,3,8,2,9,2,1,failing,23,Monday,59,85,0,62.505116990969576
3,message-queue,1,0,458,130,17,Erlang,0,1,19,3,9,3,6,5,3,passing,19,Wednesday,9,65,0,87.52024782848477
2,payment-gateway,1,1,134,148,7,Python,1,4,18,2,2,1,8,1,0,passing,8,Wednesday,43,65,0,70.42520668508875
2,iot-controller,0,1,281,106,8,Erlang,0,3,15,2,5,3,23,4,0,failing,21,Saturday,39,57,0,72.9360718753629
1,payment-gateway,1,0,155,191,15,C,0,5,3,2,5,2,2,0,2,passing,7,Saturday,39,57,1,77.0458260017832
1,data-analytics,1,1,186,81,7,C,1,2,11,3,7,2,26,2,1,passing,18,Sunday,35,74,0,82.07999915718415
1,image-processor,0,1,36,57,4,C++,1,5,20,3,7,1,18,2,2,failing,6,Sunday,30,40,1,80.06357769982793
3,image-processor,1,1,338,129,10,Erlang,1,4,8,0,6,2,13,4,1,passing,12,Saturday,71,74,0,64.57195752421774
3,image-processor,0,0,372,160,16,Erlang,0,3,4,0,8,3,9,5,2,failing,23,Thursday,38,69,0,50.45210726867404
2,message-queue,0,1,328,6,20,C++,1,2,1,3,9,2,8,1,0,failing,3,Monday,35,70,1,71.74103509745994
3,auth-service,0,0,287,158,14,Java,0,1,0,0,1,2,10,2,2,passing,21,Wednesday,27,77,1,35.7107322867671
2,auth-service,0,1,364,51,4,Erlang,0,3,14,0,9,3,4,2,1,failing,6,Friday,61,82,1,64.41925847730721
3,message-queue,0,1,7,27,1,C,1,3,14,2,9,3,0,4,3,failing,22,Saturday,2,99,0,64.46776870463063
2,iot-controller,0,1,0,98,1,Erlang,1,5,4,3,1,3,15,1,3,passing,6,Thursday,37,45,1,62.33639143130353
1,message-queue,0,1,10,114,18,Erlang,1,5,16,4,8,3,11,1,1,failing,17,Sunday,59,79,0,94.13537551442475
2,data-analytics,0,1,247,136,1,Erlang,0,1,2,1,1,3,3,5,3,passing,0,Saturday,50,64,1,62.40257742930291
2,iot-controller,1,0,446,119,11,Java,0,4,7,1,3,3,16,3,1,failing,7,Monday,54,60,0,69.56145562229969
2,payment-gateway,0,1,385,62,19,Java,1,5,6,0,1,2,7,3,3,passing,12,Wednesday,8,46,1,38.54327475257251
1,payment-gateway,1,0,94,145,2,Erlang,1,2,14,5,8,3,29,0,0,failing,11,Tuesday,50,62,0,93.67062778945862
3,image-processor,1,0,478,25,11,C,0,1,10,4,10,3,6,2,3,passing,10,Saturday,59,70,0,75.85056924018461
3,payment-gateway,1,0,457,64,16,Python,0,1,20,4,7,3,11,5,3,failing,3,Sunday,72,53,1,71.5633680140407
3,data-analytics,0,1,86,188,9,Erlang,1,3,3,3,2,1,9,5,0,failing,12,Friday,28,30,1,60.5927374788785
3,data-analytics,1,0,412,22,9,Java,0,2,4,2,2,3,16,3,1,passing,8,Thursday,30,37,0,46.826367150918365
2,image-processor,0,1,298,127,9,C,1,5,16,2,5,3,24,0,2,failing,11,Monday,50,73,1,57.49580156692119
