commit_id,repo,lines_added,lines_removed,files_changed,commit_timestamp,commit_hour,is_friday,is_weekend,after_hours,unresolved_comments,reviewers_count,patchsets_count,repo_trs_count,unresolved_trs_count,risk_score,risk_level
f4c5b030d1cd9fe9bcca6d0cbba09fca78258270,frontend-app,395,136,15,2024-03-14T09:02:38.993062,9,0,0,0,2,2,1,6,2,60.01,Medium
fd6ec7578af36fae4e712e46b43485946123fff5,core-utils,33,10,3,2024-06-24T09:02:38.993062,9,0,0,0,0,1,2,4,1,23.87,Low
ada4734b1ea72036b19f837e6f504052d7b61237,frontend-app,53,1,3,2025-02-11T07:02:38.993062,7,0,0,1,2,1,1,8,5,37.9,Low
9730286c4244c9442c88f3a0cc797f2fa8b3d658,rpcppg2,5,13,1,2024-04-15T14:02:38.993062,14,0,0,0,2,3,1,19,4,19.06,Low
6650afba8dc4086188cc2f59e9dd4dde4187d5c6,frontend-app,69,14,1,2024-03-17T12:02:38.993062,12,0,1,0,0,3,1,7,0,21.42,Low
ba111626599842f2da77d42ebae7640fee14b618,core-utils,13,15,2,2024-11-15T16:02:38.993062,16,1,0,0,1,1,1,4,0,29.71,Low
081450a874e061673b1b504aeb13b86e1f0962ad,rpcppg2,177,4,3,2024-06-11T14:02:38.993062,14,0,0,0,0,1,5,13,1,35.72,Low
7bd267566db899c4e20f0485a6312d9ac5653a96,rpcppg2,261,38,3,2024-10-02T14:02:38.993062,14,0,0,0,1,2,1,16,3,33.95,Low
f7fb926707a4cceb9cf39249f3ae66e94c049195,rpcppg2,1,2,1,2024-07-22T11:02:38.993062,11,0,0,0,0,2,1,13,7,19.24,Low
9b0e441696efff22155a1b1aa406578b3c7cf809,frontend-app,6,1,1,2024-05-22T08:02:38.993062,8,0,0,1,1,1,7,9,3,29.4,Low
ae00de48232ae65f30c4fa66e3a2c8a7af7bbc12,libclient,131,90,2,2024-07-22T17:02:38.993062,17,0,0,0,0,1,1,13,11,30.58,Low
b943255c8d8ee5793145e8572c898e3f2fca7774,libclient,114,7,1,2024-04-23T06:02:38.993062,6,0,0,1,1,2,2,16,9,26.49,Low
b9d93b8bfd85eb791608a197d7b29cd025344462,frontend-app,6,0,1,2024-09-01T11:02:38.993062,11,0,1,0,0,2,1,14,7,30.2,Low
0ef1e87aea4fc78e4828accb61861c0ee1ccfea8,rpcppg2,44,28,1,2024-07-15T22:02:38.993062,22,0,0,1,1,2,1,22,11,27.47,Low
ad65e5a6a77cf97abad94872db002a4c73df3ff8,rc,77,20,5,2024-12-01T05:02:38.993062,5,0,1,1,0,2,3,5,0,37.81,Low
a030b0f9b565d2be620acbf2b3a00304efbe9f35,rc,110,2,1,2024-04-11T14:02:38.993062,14,0,0,0,0,1,1,9,5,25.75,Low
123efb4a6ed0739412d2a7d84e18cb65619a339e,rpcppg2,3,45,1,2024-09-03T11:02:38.993062,11,0,0,0,0,2,1,18,4,19.21,Low
d1e9b54f901fa04b7d1595fc697d4d3810e35bf6,frontend-app,205,1,11,2024-03-25T07:02:38.993062,7,0,0,1,1,3,1,12,2,43.6,Medium
7b5ec83c4f46d5f89ef5666b60e94237d15e0bba,libclient,15,27,1,2024-04-11T14:02:38.993062,14,0,0,0,0,3,3,17,1,15.72,Low
596a6eea326fe2c67230c127fe5673d0fb004bc4,frontend-app,89,19,2,2024-09-12T20:02:38.993062,20,0,0,1,0,1,4,6,0,28.02,Low
1adf43c770173bc3b5bb9bff38be847485ff67a0,libclient,41,3,1,2024-05-24T08:02:38.993062,8,1,0,1,2,2,1,18,3,30.94,Low
ea90b4689ab7f70b6cd1a1e59a7cc49d36d3afc9,core-utils,3,8,1,2025-02-08T16:02:38.993062,16,0,1,0,1,3,8,4,0,25.21,Low
e29560843ae00ffedc4ff7930d5f4f6f6e9ab862,frontend-app,125,40,3,2025-01-07T06:02:38.993062,6,0,0,1,0,3,1,10,3,29.37,Low
57ac571d661dca99d29ae8e335a195c36eecee95,rpcppg2,128,41,2,2024-07-05T11:02:38.993062,11,1,0,0,1,2,3,13,1,32.42,Low
41618365efc92383df5116e363f442388d6ccd10,rc,25,15,1,2024-07-18T12:02:38.993062,12,0,0,0,0,3,1,2,1,13.83,Low
1df71f6fcd254015d709293bda1c3c213475f25d,rpcppg2,39,1,1,2024-06-22T15:02:38.993062,15,0,1,0,0,2,1,25,6,30.69,Low
